date,product,close_price_krw_per_tco2,weighted_avg_price_krw_per_tco2,open_price_krw_per_tco2,high_price_krw_per_tco2,low_price_krw_per_tco2,volume_tco2,trading_value_krw
2026-06-02,KOC23-28,15000,0,0,0,0,0,0
2026-06-02,KOC24-29,13500,0,0,0,0,0,0
2026-06-02,KOC25-30,13000,0,0,0,0,0,0
2026-06-02,KOC26-31,11000,0,0,0,0,0,0
2026-06-02,i-KCU25,15450,0,0,0,0,0,0
2026-06-02,i-KCU26,15450,0,0,0,0,0,0
2026-06-02,i-KOC21-26,14900,0,0,0,0,0,0
2026-06-02,i-KOC22-27,12550,0,0,0,0,0,0
2026-06-02,i-KOC23-28,16500,0,0,0,0,0,0
2026-06-02,i-KOC24-29,14500,0,0,0,0,0,0
2026-06-02,i-KOC25-30,12400,0,0,0,0,0,0
2026-06-02,i-KOC26-31,12400,0,0,0,0,0,0
2026-06-04,KAU25,24950,24712,24200,25100,24200,412509,10193882900
2026-06-04,KAU26,24550,0,0,0,0,0,0
2026-06-04,KAU27,24550,0,0,0,0,0,0
2026-06-04,KAU28,24550,0,0,0,0,0,0
2026-06-04,KAU29,24550,0,0,0,0,0,0
2026-06-04,KAU30,24550,0,0,0,0,0,0
2026-06-04,KCU25,9300,0,0,0,0,0,0
2026-06-04,KCU26,9300,0,0,0,0,0,0
2026-06-04,KOC21-26,12050,0,0,0,0,0,0
2026-06-04,KOC22-27,11000,0,0,0,0,0,0
2026-06-04,KOC23-28,15000,0,0,0,0,0,0
2026-06-04,KOC24-29,13500,0,0,0,0,0,0
2026-06-04,KOC25-30,13000,0,0,0,0,0,0
2026-06-04,KOC26-31,11000,0,0,0,0,0,0
2026-06-04,i-KCU25,15450,0,0,0,0,0,0
2026-06-04,i-KCU26,15450,0,0,0,0,0,0
2026-06-04,i-KOC21-26,14900,0,0,0,0,0,0
2026-06-04,i-KOC22-27,12550,0,0,0,0,0,0
2026-06-04,i-KOC23-28,18100,18100,18100,18100,18100,100,1810000
2026-06-04,i-KOC24-29,14500,0,0,0,0,0,0
