facility,year,month,incoming_ton,incineration_ton,operation_rate,lng_nm3,electricity_kwh,prev_month_incoming_ton,prev_2month_avg_incoming_ton,prev_3month_avg_incoming_ton,same_month_last_year_incoming_ton,incineration_rate,same_month_past_avg_incineration_rate
강남,2019,1,25992.49,23847.97,90.68,20768.0,2432196.0,24004.9,24374.995000000003,25229.326666666664,24247.914,0.9174946301797173,1.0052787287394913
강남,2019,2,21110.01,19595.3,89.58,31407.0,2048832.0,25992.49,24998.695000000003,24914.160000000003,23060.726000000002,0.9282468364534172,0.9693690156454183
강남,2019,3,20341.81,22676.58,86.59,24565.0,2369664.0,21110.01,23551.25,23702.46666666667,24842.409999999996,1.1147769052999708,1.0091014630212904
강남,2019,4,5808.78,8395.71,93.29,24161.0,1244628.0,20341.81,20725.910000000003,22481.436666666665,23676.206,1.4453482486856104,0.9642911084569121
강남,2019,5,9114.98,3581.35,91.83,71479.0,840888.0,5808.78,13075.295000000002,15753.533333333333,12151.6875,0.39290815777983057,1.2862476761801587
강남,2019,6,19055.32,23465.11,92.07,27969.0,2388276.0,9114.98,7461.880000000001,11755.19,13924.4,1.2314204117275387,0.8318690343551242
강남,2019,7,25986.76,25822.85,92.56,15795.0,2578032.0,19055.32,14085.150000000001,11326.36,22914.202,0.9936925572868646,0.9752458203306411
강남,2019,8,27547.91,25388.16,92.7,15997.0,2535228.0,25986.76,22521.04,18052.353333333333,24158.798000000003,0.9216002230296236,1.0602488990195573
강남,2019,9,22948.15,24987.33,92.55,18503.0,2463444.0,27547.91,26767.335,24196.663333333334,20463.453999999998,1.0888603220738926,1.0803323954585184
강남,2019,10,26476.11,24820.31,92.44,2736.0,3180132.0,22948.15,25248.030000000002,25494.27333333333,25254.4175,0.9374606012741298,0.9885152015612424
강남,2019,11,23947.84,22714.06,92.62,28380.0,2241684.0,26476.11,24712.130000000005,25657.39,23850.93,0.9484805310207518,0.9497789557394205
강남,2019,12,24875.96,25438.89,91.18,20918.0,2510604.0,23947.84,25211.975000000002,24457.36666666667,24592.014000000003,1.0226294784201293,1.0153827174539365
강남,2020,1,23549.26,24264.55,87.0,13620.0,2473668.0,24875.96,24411.9,25099.97,24538.676666666666,1.0303742028411933,0.9906480456461956
